id,city,city_name,name,category,instructions,large_sticker,source_title,source_url,source_page,official_page_url,official_page_updated,manual_date,verified_at,eco_plaza_hint
naka-47,nakatsugawa,中津川市,オーブンレンジ,大型ごみ,,１台,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-48,nakatsugawa,中津川市,桶（木・プラスチック製）,燃えるごみ,40cmを超えるものは、大型ごみ。 金属製のものは、燃えないごみ。,１個,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-49,nakatsugawa,中津川市,お玉（金属製）,燃えないごみ,木製・プラスチック製のものは、燃えるごみ。,,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-50,nakatsugawa,中津川市,落ち葉,燃えるごみ,,,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-51,nakatsugawa,中津川市,おまる（プラスチック製）,燃えるごみ,40cmを超えるものは、大型ごみ。 きれいに洗って出す。,１個,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-52,nakatsugawa,中津川市,おむつ（紙・布）,燃えるごみ,汚物は取り除く。,,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-53,nakatsugawa,中津川市,おむつカバー,燃えるごみ,,,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-54,nakatsugawa,中津川市,おもちゃ （木・プラスチック製）,燃えるごみ,金属製のものや金属部分は、燃えないごみ。 40cmを超えるものは、大型ごみ。,１個,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,13,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-55,nakatsugawa,中津川市,オルガン,大型ごみ,電気コードは切って、硬質ごみ。 最大サイズ【140cm×90cm×200cm】を超えるものは、引取り不可。,１台,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,14,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
naka-56,nakatsugawa,中津川市,オルゴール,燃えないごみ,,,中津川市 ごみの出し方ガイドブック,https://www.city.nakatsugawa.lg.jp/material/files/group/56/guidebook1.pdf,14,https://www.city.nakatsugawa.lg.jp/soshikikarasagasu/kankyocenter/1/1/gomi/7762.html,2026-04-17,,2026-08-13,False
